datetime,no_measure,measure_strength1,measure_strength2,measure_strength3,measure_strength4
2020-01-22,0.0006702374252817174,0.0006187545773980485,0.0008699755695142036,0.0010165691088692157,0.000849624630545747
2020-01-23,0.0009047835377006235,0.0008352845334134285,0.0011744190081764045,0.0013723121948463345,0.0011469463594046448
2020-01-24,0.001221407846255562,0.0011275880244715159,0.0015854008483992049,0.0018525457265148556,0.0015483142809342163
2020-01-25,0.0016488331901836689,0.0015221816058856826,0.002140203650236783,0.0025008344874692732,0.0020901388167590285
2020-01-26,0.002225833817410514,0.0020548611636595285,0.0028891568113148195,0.003375988529417438,0.0028215720234105787
2020-01-27,0.0030047528229122287,0.002773949167846384,0.003900202239144292,0.0045573981730280076,0.003808966458624578
2020-01-28,0.004056250496396829,0.003744678285132259,0.0052650577560866005,0.00615223596327248,0.0051418944024937425
2020-01-29,0.005475714329639039,0.005055109013451363,0.007107537354647931,0.00830517890916163,0.006941273469685469
2020-01-30,0.007391912172648721,0.006824118161308821,0.009594783080636075,0.01121153296624429,0.00937033572992575
2020-01-31,0.009978673516975867,0.009212182852482242,0.012952427451327696,0.015134950355276074,0.012649435401471896
2020-02-01,0.01347065858354061,0.012435938334443838,0.017485061875482495,0.020431346949323533,0.017076038394894053
2020-02-02,0.018184645720981354,0.01678783021123262,0.023603867876639692,0.027581189398459438,0.023051707048047508
2020-02-03,0.024548268218662673,0.022662643863977403,0.03186391769390203,0.03723308091527397,0.03111852794527788
2020-02-04,0.033138807418355815,0.0305933176875365,0.04301452798746464,0.05026259958696526,0.0420082873102541
2020-02-05,0.04473556127412368,0.04129928895254264,0.05806723447646699,0.06785172668004799,0.05670885479403368
2020-02-06,0.0603905390180347,0.05575175799457002,0.07838755379245599,0.09159607015932357,0.07655379741798737
2020-02-07,0.08152389505725421,0.07526179116468934,0.10581885663253408,0.12364960995797206,0.10334335252639841
2020-02-08,0.110052759467953,0.10159925476263117,0.142849589160487,0.1669200950776755,0.13950773291086585
2020-02-09,0.14856515205135473,0.13715336894031985,0.19283901172309958,0.2253328170196654,0.18832757664425898
2020-02-10,0.2005547567096765,0.18514944598660052,0.26032193193378017,0.3041866859503753,0.2542315365927491
2020-02-11,0.2707378538933987,0.24994147391210345,0.35142007437327477,0.4106349076608466,0.3431979996325528
2020-02-12,0.36548116190735935,0.33740708606717956,0.47439740125191016,0.5543338596113099,0.46329736683213624
2020-02-13,0.4933793990491972,0.45548074454747084,0.6404097542118957,0.7483190171460066,0.6254240678926722
2020-02-14,0.6660349605971257,0.6148735014749889,0.8645168103544343,1.0101873679373221,0.8442846785069916
2020-02-15,0.8991104396686631,0.8300446244464302,1.167048132339452,1.3636935376999328,1.139731711757699
2020-02-16,1.21374947220821,1.1205132143783445,1.5754471974140996,1.8409043469324786,1.5385639578813155
2020-02-17,1.6384947991494925,1.51262877550121,2.126760619629945,2.4851071160326863,2.0769564700072816
2020-02-18,2.2118775441917373,2.0419613111231167,2.8709982525228566,3.354735301982596,2.8037402300529797
2020-02-19,2.9859125953700407,2.7565276824810283,3.8756687597217137,4.528667135506972,3.784828276268991
2020-02-20,4.030817176300826,3.7211467626941492,5.23190168780888,6.113377111737796,5.109188471045058
2020-02-21,5.441380655177968,5.0233181942246805,7.06271065643597,8.252587598684652,6.896902290000213
2020-02-22,7.345563432133918,6.781157548717651,9.534145894065846,11.140293403956285,9.310036240592288
2020-02-23,9.916104956693527,9.154106827273004,12.870345327695514,15.0383358908088,12.56730401158368
2020-02-24,13.38619389989393,12.35739026113886,17.373845037813055,20.300111888469097,16.963834675351414
2020-02-25,18.07062200210271,16.681523772740395,23.452983248999615,27.40255176598012,22.89781334410878
2020-02-26,24.394340564134364,22.51864242955987,31.658868694540185,36.98923771030488,30.90636206677007
2020-02-27,32.931010068639296,30.39802421545529,42.7352393981427,49.92851931621081,41.71382688034051
2020-02-28,44.455039921825545,41.034014484228095,57.68568463796567,67.39179945686999,56.29668947423129
2020-02-29,60.011839014648714,55.39066544301871,77.8642367569465,90.95891198716222,75.97069770714454
2020-03-01,81.0126497057624,74.76889409793644,105.09738450121687,122.75982293021231,102.50758487702593
2020-03-02,109.36256773998197,100.92395529904448,141.84827360752212,165.66491394065372,138.29099754182286
2020-03-03,147.6333607519977,136.22368636313675,191.4374395484206,223.54002796994283,186.52402443175882
2020-03-04,199.29676130123693,183.8615142841125,258.3390957015311,301.5874518719108,251.5039889554921
2020-03-05,269.03939520608424,248.14288610206722,348.57803836107723,406.8002163202036,338.9837415705065
2020-03-06,363.18790941821305,334.86990197480327,470.259880807405,548.5645086813589,456.6420332512975
2020-03-07,490.28285661793257,451.85685654933286,634.27675738957,739.453292361494,614.6874962015542
2020-03-08,661.853381188766,609.6194905902412,855.2417581124755,996.2624059155324,826.6189973638527
2020-03-09,893.462954132389,822.2932986961586,1152.7175068527843,1341.346187498362,1110.155462079207
2020-03-10,1206.1209692957023,1108.8512279358622,1552.8156709077396,1804.308424106278,1488.3235483813814
2020-03-11,1628.1881596538558,1494.707875300285,2090.2508032753526,2424.087605084636,1990.6405951547913
2020-03-12,2197.948511259022,2013.8138262011737,2810.925932151881,3251.4282647493246,2654.2374533154534
2020-03-13,2967.0806714389737,2711.3554441754727,3775.0944353205073,4351.628909661153,3524.6135511136763
2020-03-14,4005.343185789971,3647.1729030639963,5061.058687157235,5807.267382684678,4655.494835089583
2020-03-15,5406.897537527129,4899.975253564089,6769.192685335622,7720.285118764554,6106.99486596464
2020-03-16,7298.840672921511,6572.335918302862,9025.760249167282,10212.331054537377,7941.053999580176
