datetime,no_measure,measure_strength1,measure_strength2,measure_strength3,measure_strength4
2020-01-22,0.00020111393144410698,0.00018566579644351921,0.00026104809974454205,0.00030503550052581534,0.0002549415187281948
2020-01-23,0.0002714927091632672,0.00025063857899700146,0.00035240052783249684,0.0004117810903843312,0.000344156977918713
2020-01-24,0.00036650017529563295,0.0003383482496463063,0.0004757212636261026,0.0005558817442069871,0.0004645929215487646
2020-01-25,0.0004947550116735562,0.0004567514642351126,0.0006421974499190988,0.0007504096714715224,0.0006271747938274981
2020-01-26,0.0006678919631559097,0.0006165892688448631,0.0008669311115043635,0.001013011632357273,0.0008466513394944755
2020-01-27,0.000901617293248018,0.000832361482537432,0.0011703091473191886,0.001367509777030403,0.0011429325463487463
2020-01-28,0.0012171335909436298,0.0011236420601338699,0.0015798527438158952,0.0018460626895009866,0.0015428957924555947
2020-01-29,0.0016430631813338541,0.0015168547590990375,0.002132713980181767,0.0024920826760492717,0.002082824042700473
2020-01-30,0.0022180446237856175,0.0020476701913377813,0.002879046106205806,0.0033641739408331135,0.0028116972750228952
2020-01-31,0.0029942378411936246,0.002764241709912116,0.0038865532288485994,0.004541448900566986,0.003795635715880171
2020-02-01,0.004042055851036615,0.003731573675847815,0.0052466321333677944,0.006130704906729892,0.005123897947769746
2020-02-02,0.005456552341175135,0.005037418374180771,0.007082663394389823,0.008276112407679781,0.006916977995761487
2020-02-03,0.0073660445446640955,0.006800236519583991,0.00956120390279848,0.011172293402213757,0.009337535897147505
2020-02-04,0.00994375364486464,0.009179943489429755,0.012907096131100845,0.015081976574275192,0.012605153275541656
2020-02-05,0.013423518679907279,0.012392416126739598,0.017423864756335943,0.020359830648698892,0.017016252384469615
2020-02-06,0.018121009446427323,0.01672907608961177,0.023521250881500897,0.02748463792068093,0.022970985412356815
2020-02-07,0.02446236274875158,0.022583326230280115,0.03175238154384905,0.03710272640693337,0.03100953300523428
2020-02-08,0.033022839754594954,0.030486238135028747,0.04286394618798376,0.050086600236731026,0.04186110425758945
2020-02-09,0.04457901129117758,0.041154728127862805,0.05786393156712437,0.0676140863213422,0.05651008215233641
2020-02-10,0.06017920511372257,0.055556591841821504,0.07811305908598022,0.09127517594360426,0.07628531289484701
2020-02-11,0.08123860582769366,0.07499829661782575,0.10544821827989646,0.12321625127844821,0.10298063546399287
2020-02-12,0.1096676345309554,0.10124349515271354,0.14234909175983723,0.16633477644031244,0.1390175786975489
2020-02-13,0.14804525423732015,0.13667301011398703,0.1921630834236883,0.22454210726827137,0.18766497304748617
2020-02-14,0.19985292261849721,0.18450080040434585,0.2594089477041853,0.3031182474636256,0.2533353772805138
2020-02-15,0.26979041526584324,0.24906549616231832,0.3501866514783242,0.4091907086704903,0.3419851706512721
2020-02-16,0.3642021696117069,0.33622394118722015,0.4727306270870773,0.5523808702117887,0.4616545322313126
2020-02-17,0.4916528255981615,0.453882428460851,0.6381565642430643,0.7456763924905625,0.6231961590303374
2020-02-18,0.6637041736410922,0.6127137931649229,0.8614694119058925,1.0066086780704442,0.8412585867758833
2020-02-19,0.8959639911821401,0.8271253655470717,1.1629238956044876,1.3588419256739424,1.1356128744599208
2020-02-20,1.2095019135635363,1.1165655023781453,1.5698607223918482,1.8343174390862704,1.5329421993238295
2020-02-21,1.632760780498209,1.5072870562543588,2.1191845938967115,2.4761468202805523,2.0692552411412657
2020-02-22,2.2041368463651354,2.0347274587858086,2.860707998189035,3.3425148774326665,2.7931396182611636
2020-02-23,2.975462918143533,2.7467207849013446,3.8616626134710694,4.511943338092099,3.770145651856921
2020-02-24,4.01671039288985,3.7078321921414066,5.212784843211877,6.090387468450698,5.088689283874906
2020-02-25,5.422336736971673,5.00520613121261,7.0365225528502116,8.220799538007281,6.867993527266544
2020-02-26,7.319854211099638,6.756455562800517,9.498098410669845,11.096008777661396,9.268759557427584
2020-02-27,9.881397136802125,9.120301863580021,12.820416920722588,14.976053648583923,12.507482200327306
2020-02-28,13.339336995925006,12.310919711576723,17.304137352666242,20.21147942215812,16.875611668107947
2020-02-29,18.007361822202366,16.617268376049616,23.354678720439736,27.274606679710672,22.765124181362232
2020-03-01,24.30893197781374,22.429126863990728,31.51850693238508,36.80141131451783,30.702502917880867
2020-03-02,32.815693446224024,30.272128829084664,42.531814747723224,49.64745951146613,41.39363650636821
2020-03-03,44.299332864620396,40.85485557484084,57.38568144463967,66.96232714229346,55.78267054449958
2020-03-04,59.80157751084207,55.132041226954726,77.41302596978912,90.28808812256717,75.12828708831472
2020-03-05,80.72868878905201,74.3892276661655,104.4041594846778,121.68870122142093,101.1010007576114
2020-03-06,108.97901842121001,100.3558297555898,140.7594631297876,163.91824741699443,135.9043856028233
2020-03-07,147.11519351998982,135.3555643905225,189.6895131835444,220.6365045547724,182.42083678888537
2020-03-08,198.59654099649848,182.50553179852852,255.47447020714932,296.6793673018639,244.37705923935937
2020-03-09,268.092818639266,245.97775401046127,343.79493539632045,398.387407227095,326.5135846970117
2020-03-10,361.9076818293054,331.3392446156356,462.14418371997857,533.9853988205614,434.7227275274064
2020-03-11,488.5502437875316,445.98776466806714,620.3238279424847,713.9839263012462,576.0860206994438
2020-03-12,659.5064746161609,599.6984411672813,831.0065643659141,951.533649317862,758.6913886792396
2020-03-13,890.2802271861963,805.2879081802693,1110.3126172416162,1262.5933238671885,991.0432464828851
2020-03-14,1201.7979811084047,1079.3814689275418,1478.2788588207434,1665.6640474983342,1280.8116700921958
2020-03-15,1622.3041063713154,1443.2248912870805,1958.986110769808,2180.6925022761025,1632.6484186245114
