datetime,no_measure,measure_strength1,measure_strength2,measure_strength3,measure_strength4
2020-01-22,0.0024403559184701337,0.00036529249748844494,0.0008699755695142036,0.001007083893385244,0.000849624630545747
2020-01-23,0.00320569556542083,0.0004931247131078586,0.0011744190081764045,0.0013595076757380153,0.0011469463594046448
2020-01-24,0.004211059534545751,0.0006656911497478907,0.0015854008483992049,0.0018352603293395565,0.0015483142809342163
2020-01-25,0.005531723783995918,0.000898646316030581,0.002140203650236783,0.0024775001497223123,0.0020901388167590285
2020-01-26,0.007266572170589593,0.001213122934618432,0.0028891568113148195,0.0033444884512312547,0.0028215720234105787
2020-01-27,0.009545500312787492,0.0016376490147380187,0.003900202239144292,0.004514874787716953,0.003808966458624578
2020-01-28,0.012539141438683777,0.0022107357942288625,0.0052650577560866005,0.006094831706800358,0.0051418944024937425
2020-01-29,0.01647164243540864,0.002984371318375726,0.007107537354647931,0.008227686270740931,0.006941273469685469
2020-01-30,0.021637446698139644,0.004028736578322682,0.009594783080636075,0.011106922071424025,0.00937033572992575
2020-01-31,0.02842334038337315,0.0054385720372761605,0.012952427451327696,0.014993731220919822,0.012649435401471896
2020-02-01,0.03733741276499844,0.007341772088818851,0.017485061875482495,0.020240708547970086,0.017076038394894053
2020-02-02,0.04904709908056293,0.009910987100027082,0.023603867876639692,0.02732383741528729,0.023051707048047508
2020-02-03,0.06442915430052704,0.01337928552700906,0.03186391769390203,0.03688566873414963,0.03111852794527788
2020-02-04,0.08463529957322576,0.018061296902167946,0.04301452798746464,0.049793610117091935,0.0420082873102541
2020-02-05,0.11117845657941666,0.024381753692206597,0.05806723447646699,0.06721861277281233,0.05670885479403368
2020-02-06,0.14604602653632556,0.032914021216718437,0.07838755379245599,0.09074139402630017,0.07655379741798737
2020-02-07,0.19184869554123735,0.04443211088533247,0.10581885663253408,0.12249583104693558,0.10334335252639841
2020-02-08,0.2520159079556994,0.05998089514887238,0.142849589160487,0.1653625329881175,0.13950773291086585
2020-02-09,0.33105264376991256,0.08097089371995557,0.19283901172309958,0.22323014999612695,0.18832757664425898
2020-02-10,0.43487672598157545,0.10930622957843317,0.26032193193378017,0.3013481210361682,0.2542315365927491
2020-02-11,0.5712619136547191,0.1475573622229666,0.35142007437327477,0.40680285503317043,0.3431979996325528
2020-02-12,0.7504199569564407,0.19919426749160435,0.47439740125191016,0.5491605328092776,0.46329736683213624
2020-02-13,0.985765195155076,0.26890121647327814,0.6404097542118957,0.7413348244776271,0.6254240678926722
2020-02-14,1.294918946346107,0.363001707884432,0.8645168103544343,1.0007582058269906,0.8442846785069916
2020-02-15,1.701028891918144,0.4900321000785211,1.167048132339452,1.350963072010958,1.139731711757699
2020-02-16,2.234502243792861,0.6615159766818702,1.5754471974140996,1.8237159737487028,1.5385639578813155
2020-02-17,2.935282464182636,0.8930094866782156,2.126760619629945,2.461898390363207,2.0769564700072816
2020-02-18,3.8558400057425724,1.2055124761714417,2.8709982525228566,3.323395016614454,2.8037402300529797
2020-02-19,5.06510100179573,1.6273734025565407,3.8756687597217137,4.4863416460561965,3.784828276268991
2020-02-20,6.653608064697519,2.1968607982230757,5.23190168780888,6.056207539125622,5.109188471045058
2020-02-21,8.74029960368265,2.9656344856415537,7.06271065643597,8.175352612737058,6.896902290000213
2020-02-22,11.481415259106965,4.003431309301536,9.534145894065846,11.035922529750065,9.310036240592288
2020-02-23,15.082194241546544,5.404390220042688,12.870345327695514,14.897244354079263,12.56730401158368
2020-02-24,19.8122424811097,7.295590069676733,17.373845037813055,20.109287858223436,16.963834675351414
2020-02-25,26.025719192039602,9.848573850218335,23.452983248999615,27.144297166004982,22.89781334410878
2020-02-26,34.18785430819949,13.29490338947183,31.658868694540185,36.63941919731821,30.90636206677007
2020-02-27,44.909782264774954,17.947152974081927,42.7352393981427,49.454117675381774,41.71382688034051
2020-02-28,58.994300282418536,24.22724164197867,57.68568463796567,66.74743856213591,56.29668947423129
2020-02-29,77.49597727491026,32.70466574627305,77.8642367569465,90.08187699277863,75.97069770714454
2020-03-01,101.80011399479558,44.14808444774887,105.09738450121687,121.56279720574119,102.50758487702593
2020-03-02,133.72646650535933,59.594909261975054,141.84827360752212,164.02519824803878,138.29099754182286
2020-03-03,175.6654992048754,80.44515863134149,191.4374395484206,221.28321835821842,186.52402443175882
2020-03-04,230.75736925765062,108.5879970912335,258.3390957015311,298.4622076712116,251.5039889554921
2020-03-05,303.12704377203005,146.57226602299366,348.57803836107723,402.43843124473796,338.9837415705065
2020-03-06,398.193153967601,197.83616254427537,470.259880807405,542.417182891076,456.6420332512975
2020-03-07,523.0737115818365,267.0163320164991,634.27675738957,730.6854426654081,614.6874962015542
2020-03-08,687.1190652621322,360.3633771411573,855.2417581124755,983.5783229700039,826.6189973638527
2020-03-09,902.612001698425,486.2995931945144,1152.7175068527843,1322.69573106086,1110.155462079207
2020-03-10,1185.687411102806,656.1661052161413,1552.8156709077396,1776.3902053895322,1488.3235483813814
2020-03-11,1557.5403763769036,885.2209848893827,2090.2508032753526,2381.507333075345,1990.6405951547913
2020-03-12,2046.0131408394989,1193.9676735868338,2810.925932151881,3185.2786176999994,2654.2374533154534
2020-03-13,2687.679777666909,1609.9139695587046,3775.0944353205073,4247.118152278411,3524.6135511136763
2020-03-14,3530.584649283203,2169.8847134556313,5061.058687157235,5639.830819960275,4655.494835089583
2020-03-15,4637.839697024732,2923.032717978292,6769.192685335622,7449.38498145645,6106.99486596464
2020-03-16,6092.349905748737,3934.704937117601,9025.760249167282,9771.969994135594,7941.053999580176
