datetime,no_measure,measure_strength1,measure_strength2,measure_strength3,measure_strength4
2020-01-22,0.0007508263486481714,0.00018566579644351921,0.00026104809974454205,0.00030503550052581534,0.0002549415187281948
2020-01-23,0.0009862990386137883,0.00025063857899700146,0.00035240052783249684,0.0004117810903843312,0.000344156977918713
2020-01-24,0.001295620212745514,0.0003383482496463063,0.0004757212636261026,0.0005558817442069871,0.0004645929215487646
2020-01-25,0.0017019500881132329,0.0004567514642351126,0.0006421974499190988,0.0007504096714715224,0.0006271747938274981
2020-01-26,0.002235712343735717,0.0006165892688448631,0.0008669311115043635,0.001013011632357273,0.0008466513394944755
2020-01-27,0.0029368720733011894,0.000832361482537432,0.0011703091473191886,0.001367509777030403,0.0011429325463487463
2020-01-28,0.0038579281449617527,0.0011236420601338699,0.0015798527438158952,0.0018460626895009866,0.0015428957924555947
2020-01-29,0.0050678440191499795,0.0015168547590990375,0.002132713980181767,0.0024920826760492717,0.002082824042700473
2020-01-30,0.006657211341785847,0.0020476701913377813,0.002879046106205806,0.0033641739408331135,0.0028116972750228952
2020-01-31,0.00874503293347919,0.002764241709912116,0.0038865532288485994,0.004541448900566986,0.003795635715880171
2020-02-01,0.011487633046530337,0.003731573675847815,0.0052466321333677944,0.006130704906729892,0.005123897947769746
2020-02-02,0.015090362039292359,0.005037418374180771,0.007082663394389823,0.008276112407679781,0.006916977995761487
2020-02-03,0.019822971847598705,0.006800236519583991,0.00956120390279848,0.011172293402213757,0.009337535897147505
2020-02-04,0.026039813481447727,0.009179943489429755,0.012907096131100845,0.015081976574275192,0.012605153275541656
2020-02-05,0.034206368821066764,0.012392416126739598,0.017423864756335943,0.020359830648698892,0.017016252384469615
2020-02-06,0.04493410326293163,0.01672907608961177,0.023521250881500897,0.02748463792068093,0.022970985412356815
2020-02-07,0.05902624878441664,0.022583326230280115,0.03175238154384905,0.03710272640693337,0.03100953300523428
2020-02-08,0.07753794540357618,0.030486238135028747,0.04286394618798376,0.050086600236731026,0.04186110425758945
2020-02-09,0.10185524408583488,0.041154728127862805,0.05786393156712437,0.0676140863213422,0.05651008215233641
2020-02-10,0.1337988863876511,0.055556591841821504,0.07811305908598022,0.09127517594360426,0.07628531289484701
2020-02-11,0.1757606312689134,0.07499829661782575,0.10544821827989646,0.12321625127844821,0.10298063546399287
2020-02-12,0.2308823364534223,0.10124349515271354,0.14234909175983723,0.16633477644031244,0.1390175786975489
2020-02-13,0.30329120293515716,0.13667301011398703,0.1921630834236883,0.22454210726827137,0.18766497304748617
2020-02-14,0.39840879640618004,0.18450080040434585,0.2594089477041853,0.3031182474636256,0.2533353772805138
2020-02-15,0.5233569833799531,0.24906549616231832,0.3501866514783242,0.4091907086704903,0.3419851706512721
2020-02-16,0.6874911762071614,0.33622394118722015,0.4727306270870773,0.5523808702117887,0.4616545322313126
2020-02-17,0.9031008133497489,0.453882428460851,0.6381565642430643,0.7456763924905625,0.6231961590303374
2020-02-18,1.1863295229075295,0.6127137931649229,0.8614694119058925,1.0066086780704442,0.8412585867758833
2020-02-19,1.558383866029099,0.8271253655470717,1.1629238956044876,1.3588419256739424,1.1356128744599208
2020-02-20,2.047121164065561,1.1165655023781453,1.5698607223918482,1.8343174390862704,1.5329421993238295
2020-02-21,2.689135296968535,1.5072870562543588,2.1191845938967115,2.4761468202805523,2.0692552411412657
2020-02-22,3.532496645699502,2.0347274587858086,2.860707998189035,3.3425148774326665,2.7931396182611636
2020-02-23,4.640351330015002,2.7467207849013446,3.8616626134710694,4.511943338092099,3.770145651856921
2020-02-24,6.095649232161713,3.7078321921414066,5.212784843211877,6.090387468450698,5.088689283874906
2020-02-25,8.007354814109208,5.00520613121261,7.0365225528502116,8.220799538007281,6.867993527266544
2020-02-26,10.518605759127597,6.756455562800517,9.498098410669845,11.096008777661396,9.268759557427584
2020-02-27,13.81743031056888,9.120301863580021,12.820416920722588,14.976053648583923,12.507482200327306
2020-02-28,18.15082576146123,12.310919711576723,17.304137352666242,20.21147942215812,16.875611668107947
2020-02-29,23.843252212455763,16.617268376049616,23.354678720439736,27.274606679710672,22.765124181362232
2020-03-01,31.320926305945054,22.429126863990728,31.51850693238508,36.80141131451783,30.702502917880867
2020-03-02,41.143733913529005,30.272128829084664,42.531814747723224,49.64745951146613,41.39363650636821
2020-03-03,54.04715121806479,40.85485557484084,57.38568144463967,66.96232714229346,55.78267054449958
2020-03-04,70.99731300342287,55.132041226954726,77.41302596978912,90.28808812256717,75.12828708831472
2020-03-05,93.2633513534977,74.3892276661655,104.4041594846778,121.68870122142093,101.1010007576114
2020-03-06,122.51242107242308,100.3558297555898,140.7594631297876,163.91824741699443,135.9043856028233
2020-03-07,160.93452679109407,135.3555643905225,189.6895131835444,220.6365045547724,182.42083678888537
2020-03-08,211.40649810652806,182.50553179852852,255.47447020714932,296.6793673018639,244.37705923935937
2020-03-09,277.70739028350425,245.97775401046127,343.79493539632045,398.387407227095,326.5135846970117
2020-03-10,364.80143850267547,331.3392446156356,462.14418371997857,533.9853988205614,434.7227275274064
2020-03-11,479.2097516661813,445.98776466806714,620.3238279424847,713.9839263012462,576.0860206994438
2020-03-12,629.4985760871084,599.6984411672813,831.0065643659141,951.533649317862,758.6913886792396
2020-03-13,826.9206874816241,805.2879081802693,1110.3126172416162,1262.5933238671885,991.0432464828851
2020-03-14,1086.257935062366,1079.3814689275418,1478.2788588207434,1665.6640474983342,1280.8116700921958
2020-03-15,1426.9280226613944,1443.2248912870805,1958.986110769808,2180.6925022761025,1632.6484186245114
2020-03-16,1874.4383963827668,1923.4005094581826,2579.9374388199303,2826.581457229307,2044.9271702575006
2020-03-17,2462.296097655199,2552.1668562174127,3370.0521888641374,3616.657325613865,2505.685459017898
2020-03-18,3234.516580661184,3366.9214744441033,4355.412528802776,4551.633231386501,2988.8521816104612
2020-03-19,4248.919340178047,4407.983966574747,5551.836810711899,5610.390886491683,3452.8599041063885
2020-03-20,5581.457107772405,5713.563801718772,6953.794711432959,6740.574836616681,3844.248822998791
2020-03-21,7331.902762032118,7310.59857694808,8520.60774919386,7853.357281035371,4107.732896189769
2020-03-22,9631.319756454937,9200.529778838216,10163.620883926418,8828.457196047413,4200.892003393607
2020-03-23,12651.875408310667,11340.669557060384,11741.483652677214,9534.02789425132,4107.732896189769
2020-03-24,16619.73181194995,13625.188225433529,13072.405474193596,9859.423458301615,3844.2488229987907
2020-03-25,21831.97957511522,15874.53203166192,13968.385625150035,9749.33633868479,3452.8599041063894
2020-03-26,28678.88228049127,17845.56865727291,14285.174074351526,9222.779404665187,2988.8521816104612
2020-03-27,37673.097211750915,19271.78731108199,13968.385625150033,8366.426102161095,2505.6854590178987
2020-03-28,49488.06022651321,19929.531778782573,13072.405474193596,7306.077064347478,2044.9271702575008
2020-03-29,65008.408818032905,19707.005100816343,11741.483652677216,6171.2448375910135,1632.6484186245111
2020-03-30,85396.21875881017,18642.639299482795,10163.620883926418,5067.983717712076,1280.8116700921958
2020-03-31,112178.013750733,16911.63338130706,8520.60774919386,4066.7237285446304,991.0432464828848
2020-04-01,147359.06287140356,14768.276831597794,6953.79471143296,3203.1558928121262,758.6913886792396
2020-04-02,193573.52376188227,12474.362281484182,5551.8368107118995,2486.2460606746217,576.0860206994436
2020-04-03,254281.6734271151,10244.264584401386,4355.412528802776,1907.9360882700137,434.72272752740645
2020-04-04,334028.9941739776,8220.348798926694,3370.0521888641365,1451.3937210894367,326.51358469701177
2020-04-05,438786.51357412926,6474.759647780719,2579.937438819931,1096.770418887392,244.3770592393593
2020-04-06,576397.881179917,5025.6204214828695,1958.9861107698075,824.6330750194561,182.4208367888854
2020-04-07,757166.6565649118,3856.6426387789425,1478.2788588207436,617.6778994605471,135.9043856028233
2020-04-08,994627.7814902943,2933.8021041810634,1110.3126172416164,461.35145007663317,101.1010007576114
2020-04-09,1306560.9996621574,2216.9775960723605,831.0065643659138,343.86006464188995,75.12828708831474
